cmnh1sk4m004mk908dtov4vol	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	(EG.3.2-24) Number of individuals in agriculture and food system who have applied improved management practices or technologies	\N	(EG.3.2-24) Number of individuals in agriculture and food system who have applied improved management practices or technologies	\N	Number of individuals	Process mapping reports; disaggregated by MSME	\N	Quarterly	Digitization Specialist, M&E Analyst	\N	0	60	\N	not_started	6	t	2026-04-02 05:42:20.902	2026-04-02 05:42:20.902
cmnh1sk4o004ok9088epjzcud	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	(Custom) Number of digital tools configured and tested	\N	(Custom) Number of digital tools configured and tested	\N	Number of tools	Tool configuration reports; user feedback	\N	Quarterly	Digitization Specialist, Project Manager	\N	0	1	\N	not_started	7	t	2026-04-02 05:42:20.905	2026-04-02 05:42:20.905
cmnh1sk4s004qk90806vliipq	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	Custom 15 (Number of MSMEs receiving business development services)	\N	Custom 15 (Number of MSMEs receiving business development services)	\N	Number of MSMEs	Training attendance and support logs\n\nMSME size, product type, location	\N	Quarterly	Digitization Specialist, Project Manager	\N	0	60	\N	not_started	8	t	2026-04-02 05:42:20.909	2026-04-02 05:42:20.909
cmnh1sk4v004sk908g03pp7no	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	(EG.5.2-2) Number of private sector firms that have improved management practices or technologies  as a result of USG assistance	\N	(EG.5.2-2) Number of private sector firms that have improved management practices or technologies  as a result of USG assistance	\N	Number of MSMEs	Training attendance and support logs\n\nMSME size, product type, location	\N	Quarterly	Digitization Specialist, Project Manager	\N	0	60	\N	not_started	9	t	2026-04-02 05:42:20.911	2026-04-02 05:42:20.911
cmnh1sk4y004uk908cnuzk5gc	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	(Custom) Number of integrations completed	\N	(Custom) Number of integrations completed	\N	Number of integrations	Integration test reports; traceability data samples	\N	Quarterly	Digitization Specialist, M&E Analyst	\N	0	1	\N	not_started	10	t	2026-04-02 05:42:20.914	2026-04-02 05:42:20.914
cmnh1sk50004wk9083tm418ml	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	activity	A1.1a	Selection of participating MSMEs and cooperative enrollment.	The project team will identify, screen, and formally select the participating rural agro-food MSMEs and confirm the participation of the cooperative based on predefined eligibility and readiness criteria. The process will prioritize entities with clear interest in business improvement, digital adoption, value-added processing, and collaborative commercialization. Selected participants will be formally enrolled in the project through signed commitment forms and an agreed participation roadmap.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.917	2026-04-02 05:42:20.917
cmnh1sk53004yk908ydjky6ci	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	activity	A1.1b	Baseline assessment of business and financial management practices, digitalization, and export readiness.	The project team will conduct a structured baseline assessment of all selected participants to identify current capacities, constraints, and opportunities in business management, financial planning, basic costing, digital tool use, production recordkeeping, and export readiness. The assessment will generate an initial profile for each participant and establish baseline values for project monitoring, coaching, and tailored training.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	1	t	2026-04-02 05:42:20.92	2026-04-02 05:42:20.92
cmnh1sk560050k908g291eguo	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	activity	A1.2	Design and delivery of tailored training program on international sustainable business models, export basics, and digital tools.	Co-design with participants and deliver a modular training program (presential and/or virtual) covering international sustainable business models, value proposition design, basic cost and price calculation, key steps and requirements for exporting to the United States, and use of digital tools.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	2	t	2026-04-02 05:42:20.922	2026-04-02 05:42:20.922
cmnh1sk580052k908is89sbza	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	activity	A1.3	Individualized coaching for the cooperative and participating MSMEs on financial management, basic costing, and adoption of low-cost digital tools.	The project team will provide individualized coaching sessions tailored to the needs of the cooperative and each participating MSME. Coaching will focus on practical improvements in financial management, basic costing, pricing logic, cash-flow awareness, business decision-making, and the use of simple digital tools for recordkeeping and operational follow-up. The coaching process will translate training content into participant-specific action steps and reinforce adoption through direct follow-up and troubleshooting.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	3	t	2026-04-02 05:42:20.925	2026-04-02 05:42:20.925
cmnh1sk5b0054k908ze1g7dqx	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	activity	A1.4	Development of individual business improvement and export-readiness plans incorporating digitalization strategies.	Facilitate the development of short, practical business improvement plans for each participating organization, including concrete actions, responsibilities, and timelines to strengthen their business model, digital capabilities, and prepare for future engagement with national and export markets.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	4	t	2026-04-02 05:42:20.927	2026-04-02 05:42:20.927
cmnh1sk5f0056k908khponhfs	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	activity	A1.5	Detailed mapping of current business and production information flows.	Document existing processes for purchasing, inventory management, production, and, identifying critical control points, information gaps, and opportunities for simplification and digitalization.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	5	t	2026-04-02 05:42:20.931	2026-04-02 05:42:20.931
cmnh1sk5h0058k9083i5agylz	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	activity	A1.6	Design, development, and configuration of low-cost digital tools and data structures.	Define and implement the minimum set of digital tools and standardized data fields required to register inventory movements, production batches, and sales in a way that supports future export requirements and can be maintained at near-zero cost.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	6	t	2026-04-02 05:42:20.933	2026-04-02 05:42:20.933
cmnh1sk5j005ak9089ynfojgu	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	activity	A1.7	Training and on-the-job support for digital tool adoption.	Train staff from the cooperative and MSMEs on how to use the digital tools in their daily operations and provide on-the-job support during an initial implementation period to ensure correct data entry and routine use.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	7	t	2026-04-02 05:42:20.936	2026-04-02 05:42:20.936
cmnh1sk5m005ck908iam2hd9r	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	activity	A1.8	Integration with weighing equipment and basic traceability records.	Set up data capture from industrial and portioning scales and link the resulting data to digital records of lots, products, and clients, creating a basic digital traceability chain from raw material intake to finished products.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	8	t	2026-04-02 05:42:20.938	2026-04-02 05:42:20.938
cmnh1sk5o005ek908bj91vfrf	cmnh1sk3c003tk908gigp09oy	cmnh1sk3u0042k908slhe9yu9	outcome	R2	A shared maquila/bio-refinery unit for the production of value-added coffee by-products and other local agro-food products is established, operational, and accessible for shared use by participating MSMEs	A shared maquila/bio-refinery unit for the production of value-added coffee by-products and other local agro-food products is established, operational, and accessible for shared use by participating MSMEs	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	1	t	2026-04-02 05:42:20.941	2026-04-02 05:42:20.941
cmnh1sk5r005gk908c080opf2	cmnh1sk3c003tk908gigp09oy	cmnh1sk5o005ek908bj91vfrf	objective	OE2	Establish and operationalize a shared maquila/bio-refinery unit	Establish and operationalize a shared maquila/bio-refinery unit	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.943	2026-04-02 05:42:20.943
cmnh1sk5t005ik908df49523i	cmnh1sk3c003tk908gigp09oy	cmnh1sk5r005gk908c080opf2	output	P2.1	Maquila/bio-refinery unit physically set up, equipped, and operating.	Maquila/bio-refinery unit physically set up, equipped, and operating.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.945	2026-04-02 05:42:20.945
cmnh1sk5v005kk908z188otou	cmnh1sk3c003tk908gigp09oy	cmnh1sk5t005ik908df49523i	indicator	\N	(Custom) Existence of technical design document	\N	(Custom) Existence of technical design document	\N	Yes/No	Technical design document	\N	Quarterly	Agricultural Engineer, Project Manager	\N	No	Yes	\N	not_started	0	t	2026-04-02 05:42:20.948	2026-04-02 05:42:20.948
cmnh1sk5y005mk908sxyykgga	cmnh1sk3c003tk908gigp09oy	cmnh1sk5t005ik908df49523i	indicator	\N	(Custom) Existence of equipment items procured and installed	\N	(Custom) Existence of equipment items procured and installed	\N	Yes/No	Procurement and installation reports	\N	Quarterly	Agricultural Engineer, Project Manager, Admin Assistant	\N	No	Yes	\N	not_started	1	t	2026-04-02 05:42:20.95	2026-04-02 05:42:20.95
cmnh1sk61005ok9085dos1vo5	cmnh1sk3c003tk908gigp09oy	cmnh1sk5t005ik908df49523i	indicator	\N	(Custom) Number of validated processing protocols	\N	(Custom) Number of validated processing protocols	\N	Number of protocols	Protocol documents; pilot reports	\N	Quarterly	Agricultural Engineer, Project Manager	\N	0	1	\N	not_started	2	t	2026-04-02 05:42:20.953	2026-04-02 05:42:20.953
cmnh1sk63005qk908vdcpclsi	cmnh1sk3c003tk908gigp09oy	cmnh1sk5t005ik908df49523i	indicator	\N	(Custom) Number of staff trained in maquila operation and quality control	\N	(Custom) Number of staff trained in maquila operation and quality control	\N	Number of staff	Training attendance records	\N	Quarterly	Project Manager, Quality Control Specialist	\N	0	2	\N	not_started	3	t	2026-04-02 05:42:20.956	2026-04-02 05:42:20.956
cmnh1sk66005sk908tq5p4dty	cmnh1sk3c003tk908gigp09oy	cmnh1sk5t005ik908df49523i	indicator	\N	(Custom) Existence of governance agreement	\N	(Custom) Existence of governance agreement	\N	Yes/No	Governance agreement document	\N	Quarterly	Project Manager, Cooperative Leadership	\N	No	Yes	\N	not_started	4	t	2026-04-02 05:42:20.958	2026-04-02 05:42:20.958
cmnh1sk68005uk9085f1smxp6	cmnh1sk3c003tk908gigp09oy	cmnh1sk5t005ik908df49523i	activity	A2.1	Technical design and planning of the shared maquila/bio-refinery.	Define the functional layout, process flow, required low-cost equipment (e.g solar dryers and basic processing tools), and operational model of the shared maquila/bio-refinery, ensuring compliance with relevant food safety and quality standards.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.96	2026-04-02 05:42:20.96
cmnh1sk6a005wk908brqfcore	cmnh1sk3c003tk908gigp09oy	cmnh1sk5t005ik908df49523i	activity	A2.2	Procurement and installation of equipment and basic infrastructure.	Purchase, install, and test essential equipment and infrastructure for the maquila/bio-refinery, including solar dehydrators, portioning and industrial scales, and other small processing equipment required for selected products.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	1	t	2026-04-02 05:42:20.963	2026-04-02 05:42:20.963
cmnh1sk6d005yk9083m5rc817	cmnh1sk3c003tk908gigp09oy	cmnh1sk5t005ik908df49523i	activity	A2.3	Development and validation of processing protocols for selected products.	Co-develop with the cooperative and MSMEs standardized operating procedures (SOPs) for at least two value-added products (e.g., dehydrated, fermented, or other coffee by-product–based foods), and validate these protocols through pilot production runs.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	2	t	2026-04-02 05:42:20.965	2026-04-02 05:42:20.965
cmnh1sk6f0060k908ktbtqqna	cmnh1sk3c003tk908gigp09oy	cmnh1sk5t005ik908df49523i	activity	A2.4	Training of operators and quality control procedures.	Train cooperative and MSME staff in operating the shared maquila/bio-refinery, applying hygiene and food safety practices, recording critical process parameters, and implementing basic quality control checks.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	3	t	2026-04-02 05:42:20.968	2026-04-02 05:42:20.968
cmnh1sk6i0062k908hrwil9ec	cmnh1sk3c003tk908gigp09oy	cmnh1sk5t005ik908df49523i	activity	A2.5	Definition of governance and cost-sharing model for the shared maquila.	Facilitate the design and agreement of simple governance rules, scheduling mechanisms, and cost-sharing arrangements for use of the maquila/bio-refinery among the cooperative and participating MSMEs.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	4	t	2026-04-02 05:42:20.97	2026-04-02 05:42:20.97
cmnh1sk6k0064k9080yebayv4	cmnh1sk3c003tk908gigp09oy	cmnh1sk3u0042k908slhe9yu9	outcome	R3	Low-cost process monitoring and automation systems are implemented and operational, enabling the cooperative and participating MSMEs to collect real-time data, improve product consistency, and significantly reduce post-harvest and processing losses.	Low-cost process monitoring and automation systems are implemented and operational, enabling the cooperative and participating MSMEs to collect real-time data, improve product consistency, and significantly reduce post-harvest and processing losses.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	2	t	2026-04-02 05:42:20.972	2026-04-02 05:42:20.972
cmnh1sk6m0066k90805nt89h3	cmnh1sk3c003tk908gigp09oy	cmnh1sk6k0064k9080yebayv4	objective	OE3	Introduce low-cost process monitoring and automation	Introduce low-cost process monitoring and automation	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.975	2026-04-02 05:42:20.975
cmnh1sk6p0068k908uevfimr9	cmnh1sk3c003tk908gigp09oy	cmnh1sk6m0066k90805nt89h3	output	P3.1	Basic sensor-based monitoring and automation nodes installed in the maquila/bio-refinery for key processing stages.	Basic sensor-based monitoring and automation nodes installed in the maquila/bio-refinery for key processing stages.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.978	2026-04-02 05:42:20.978
cmnh1sk6s006ak908gs4inymr	cmnh1sk3c003tk908gigp09oy	cmnh1sk6p0068k908uevfimr9	indicator	\N	(Custom) Number of critical control points identified for monitoring	\N	(Custom) Number of critical control points identified for monitoring	\N	Number of points	Identification report	\N	Quarterly	Agricultural Engineer, Digitization Specialist	\N	0	1	\N	not_started	0	t	2026-04-02 05:42:20.98	2026-04-02 05:42:20.98
cmnh1sk6u006ck908rafz2pky	cmnh1sk3c003tk908gigp09oy	cmnh1sk6p0068k908uevfimr9	indicator	\N	(Custom) Percentage reduction in operational costs (water, electricity, or post-harvest loss) achieved through monitoring and automation nodes	\N	(Custom) Percentage reduction in operational costs (water, electricity, or post-harvest loss) achieved through monitoring and automation nodes	\N	% reduction	Comparative logs of resource use and post-harvest waste; disaggregated by resource type (water/energy/food loss)	\N	Quarterly	Digitization Specialist, Agricultural Engineer	\N	0%	10%	\N	not_started	1	t	2026-04-02 05:42:20.983	2026-04-02 05:42:20.983
cmnh1sk6x006ek908y6jrekc9	cmnh1sk3c003tk908gigp09oy	cmnh1sk6p0068k908uevfimr9	indicator	\N	(Custom) Number of monitoring kits installed, tested, and calibrated	\N	(Custom) Number of monitoring kits installed, tested, and calibrated	\N	Number of kits	Installation reports	\N	Quarterly	Digitization Specialist, M&E Analyst, Admin Assistant	\N	0	1	\N	not_started	2	t	2026-04-02 05:42:20.985	2026-04-02 05:42:20.985
cmnh1sk6z006gk90886ocymbk	cmnh1sk3c003tk908gigp09oy	cmnh1sk6p0068k908uevfimr9	indicator	\N	(Custom) Number of staff trained in use and maintenance of monitoring tools	\N	(Custom) Number of staff trained in use and maintenance of monitoring tools	\N	Number of staff	Training attendance	\N	Quarterly	Project Manager, Digitization Specialist	\N	0	2	\N	not_started	3	t	2026-04-02 05:42:20.987	2026-04-02 05:42:20.987
cmnh1sk71006ik9085q697yly	cmnh1sk3c003tk908gigp09oy	cmnh1sk6p0068k908uevfimr9	activity	A3.1	Identification of critical control points for monitoring and light automation.	Identify, within the maquila/bio-refinery and MSME processes, the key stages (e.g., drying, fermentation, storage) where simple sensors and basic automation can improve quality consistency, reduce waste, and support compliance with food safety requirements.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.99	2026-04-02 05:42:20.99
cmnh1sk74006kk908u3g0ut7q	cmnh1sk3c003tk908gigp09oy	cmnh1sk6p0068k908uevfimr9	activity	A3.2	Design and configuration of low-cost monitoring and automation nodes.	Design, assemble, and configure low-cost monitoring and automation nodes (e.g., based on ESP32 or similar microcontrollers) to measure temperature, humidity, and other relevant parameters in selected stages, ensuring that solutions can be maintained locally at low cost.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	1	t	2026-04-02 05:42:20.992	2026-04-02 05:42:20.992
cmnh1sk76006mk9087b3fw32s	cmnh1sk3c003tk908gigp09oy	cmnh1sk6p0068k908uevfimr9	activity	A3.3	Installation, testing, and calibration of monitoring and automation kit.	Install the monitoring and automation kit at the identified control points, test its functioning under real operating conditions, and calibrate sensors and basic control actions as needed.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	2	t	2026-04-02 05:42:20.995	2026-04-02 05:42:20.995
cmnh1sk78006ok908nk7mjhk8	cmnh1sk3c003tk908gigp09oy	cmnh1sk6p0068k908uevfimr9	activity	A3.4	Training of staff in use and maintenance of monitoring tools and data.	Train staff on how to read, interpret, and use the data generated by the monitoring nodes, as well as how to perform basic maintenance and troubleshooting to ensure sustainability after the project.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	3	t	2026-04-02 05:42:20.997	2026-04-02 05:42:20.997
cmnh2vd0q00b9k9084ovfcg9g	cmnh2vczk00ack908qnv5kdsb	cmnh2vd0i00b3k908ypbhgx7v	activity	A2.1c	Elaboración de una guía práctica para mejorar la eficiencia productiva agrícola	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	2	t	2026-04-02 06:12:31.275	2026-04-02 06:12:31.275
cmnh1sk7b006qk908jhrmkk5w	cmnh1sk3c003tk908gigp09oy	cmnh1sk3u0042k908slhe9yu9	outcome	R4	A formalized collaborative commercialization network is established and functioning, enabling the cooperative and participating MSMEs to consolidate supply, standardize high-value products, and facilitate coordinated access to national and international markets, including strategic linkages for the U.S. market.	A formalized collaborative commercialization network is established and functioning, enabling the cooperative and participating MSMEs to consolidate supply, standardize high-value products, and facilitate coordinated access to national and international markets, including strategic linkages for the U.S. market.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	3	t	2026-04-02 05:42:21	2026-04-02 05:42:21
cmnh1sk7e006sk90865ouq3ju	cmnh1sk3c003tk908gigp09oy	cmnh1sk7b006qk908jhrmkk5w	objective	OE4	Organize and formalize a collaborative commercialization network	Organize and formalize a collaborative commercialization network	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:21.002	2026-04-02 05:42:21.002
cmnh1sk7g006uk908osouksyu	cmnh1sk3c003tk908gigp09oy	cmnh1sk7e006sk90865ouq3ju	output	P4.1	A collaborative commercialization mechanism is defined and tested among the cooperative and participating MSMEs.	A collaborative commercialization mechanism is defined and tested among the cooperative and participating MSMEs.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:21.005	2026-04-02 05:42:21.005
cmnh1sk7j006wk908fkcd2r6d	cmnh1sk3c003tk908gigp09oy	cmnh1sk7g006uk908osouksyu	indicator	\N	(Custom) Existence of governance framework document	\N	(Custom) Existence of governance framework document	\N	Yes/No	Governance document	\N	Quarterly	Specialist in Commercialization, Project Manager	\N	No	Yes	\N	not_started	0	t	2026-04-02 05:42:21.007	2026-04-02 05:42:21.007
cmnh1sk7l006yk908txxpzyzv	cmnh1sk3c003tk908gigp09oy	cmnh1sk7g006uk908osouksyu	indicator	\N	(Custom) Number of product specifications developed	\N	(Custom) Number of product specifications developed	\N	Number of specifications	Specification documents	\N	Quarterly	Specialist in Commercialization, Quality Control Specialist	\N	0	1	\N	not_started	1	t	2026-04-02 05:42:21.009	2026-04-02 05:42:21.009
cmnh1sk7n0070k9086qrxzj01	cmnh1sk3c003tk908gigp09oy	cmnh1sk7g006uk908osouksyu	indicator	\N	(Custom) Number of marketing strategies designed	\N	(Custom) Number of marketing strategies designed	\N	Number of strategies	Marketing documents	\N	Quarterly	Specialist in Commercialization, Project Manager	\N	0	1	\N	not_started	2	t	2026-04-02 05:42:21.012	2026-04-02 05:42:21.012
cmnh1sk7q0072k908mksfz6yh	cmnh1sk3c003tk908gigp09oy	cmnh1sk7g006uk908osouksyu	indicator	\N	EG.2.2-1 (Number of firms receiving USG-funded technical assistance to export)	\N	EG.2.2-1 (Number of firms receiving USG-funded technical assistance to export)	\N	Number of firms	Technical assistance logs.\n\nType of firm and Sector	\N	Quarterly	Operations and Business Development Technician, Project Manager	\N	0	60	\N	not_started	3	t	2026-04-02 05:42:21.014	2026-04-02 05:42:21.014
cmnh1sk7s0074k908jfrxy02u	cmnh1sk3c003tk908gigp09oy	cmnh1sk7g006uk908osouksyu	indicator	\N	(Custom) Existence of a documented collaborative commercialization mechanism (procedures, criteria, and roles	\N	(Custom) Existence of a documented collaborative commercialization mechanism (procedures, criteria, and roles	\N	Yes/No	Collaborative commercialization mechanism documents	\N	Quarterly	Project Manager	\N	No	Yes	\N	not_started	4	t	2026-04-02 05:42:21.016	2026-04-02 05:42:21.016
cmnh1sk7u0076k908pgy1fm8v	cmnh1sk3c003tk908gigp09oy	cmnh1sk7g006uk908osouksyu	activity	A4.1	Participatory design and agreement of governance structures, roles, and responsibilities for the commercialization network.	Facilitate participatory workshops and consensus-building sessions with cooperative leadership and MSME representatives to define governance bodies, decision-making rules, membership criteria, scheduling mechanisms, and cost-sharing arrangements for joint commercialization.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:21.019	2026-04-02 05:42:21.019
cmnh1sk7x0078k9082vt5uxpa	cmnh1sk3c003tk908gigp09oy	cmnh1sk7g006uk908osouksyu	activity	A4.2	Participatory development of standardized product specifications, quality criteria, and packaging requirements.	Co-develop with producers and quality staff clear product definitions (grades, weight, moisture limits, labeling), standard operating checks, and packaging/labeling templates to ensure product consistency across the network and meet buyer requirements.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	1	t	2026-04-02 05:42:21.021	2026-04-02 05:42:21.021
cmnh1sk7z007ak9089x41zvlw	cmnh1sk3c003tk908gigp09oy	cmnh1sk7g006uk908osouksyu	activity	A4.3	Participatory design of joint marketing and sales strategies targeting national and potential export channels.	Prepare market positioning, shared value propositions, simple promotional materials, and a coordinated sales approach that leverages the network’s aggregated volumes.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	2	t	2026-04-02 05:42:21.024	2026-04-02 05:42:21.024
